date,sleep_hours,calories_kcal,protein_g,carbs_g,bodyweight_kg,resting_hr_bpm
2024-10-24,3.15,2632.0,193.4,267.4,,66.0
2024-10-25,6.28,2905.0,206.9,296.4,,60.2
2024-10-26,6.81,2957.0,206.7,304.1,78.4,57.2
2024-10-27,6.57,2389.0,162.4,288.4,76.1,63.2
2024-10-28,6.74,2477.0,172.3,275.7,78.1,59.9
2024-10-29,7.48,2720.0,179.8,282.0,79.0,57.2
2024-10-30,7.54,2283.0,172.0,254.8,,58.4
2024-10-31,7.9,2742.0,193.1,278.2,79.9,59.9
2024-11-01,5.84,727.0,50.0,80.0,77.7,63.3
2024-11-02,6.73,2394.0,216.1,223.4,76.7,
2024-11-03,7.07,2339.0,176.1,249.9,79.1,
2024-11-05,7.1,2523.0,192.1,274.1,79.5,59.6
2024-11-06,7.29,2679.0,199.2,266.1,78.0,53.5
2024-11-07,6.89,2306.0,143.6,219.0,76.4,60.2
2024-11-08,6.95,2599.0,200.7,278.1,77.5,
2024-11-09,6.38,2512.0,170.6,227.9,78.3,62.3
2024-11-11,6.32,2622.0,174.4,312.1,77.9,61.7
2024-11-12,6.02,2386.0,178.3,241.3,,60.4
2024-11-13,7.61,2849.0,19.0,329.4,78.1,
2024-11-14,7.01,2614.0,177.6,257.7,79.2,61.4
2024-11-15,6.88,2611.0,205.0,298.5,78.0,59.5
2024-11-16,7.81,2420.0,160.1,286.6,77.3,54.8
2024-11-18,8.08,2454.0,173.7,290.3,79.1,54.7
2024-11-19,7.57,3253.0,246.4,347.4,78.3,57.5
2024-11-20,7.47,2393.0,170.8,244.8,76.2,59.3
2024-11-21,7.75,2526.0,167.9,314.0,76.7,55.8
2024-11-22,7.59,750.0,59.8,80.0,79.6,58.2
2024-11-27,7.46,2679.0,184.6,284.4,77.4,56.5
2024-11-28,6.19,2732.0,184.9,319.2,79.1,61.2
2024-11-29,5.95,2421.0,148.6,246.0,,59.6
2024-11-30,1.28,2735.0,188.0,254.4,76.4,66.4
2024-12-01,7.47,2685.0,195.6,276.9,79.3,59.5
2024-12-02,7.94,2861.0,219.6,337.3,78.8,64.4
2024-12-03,7.92,2335.0,162.4,259.2,,61.2
2024-12-04,6.25,2835.0,215.4,325.0,74.4,60.9
2024-12-05,6.51,2824.0,204.3,309.6,78.8,58.7
2024-12-07,7.09,2514.0,131.2,284.9,76.7,63.5
2024-12-08,2.38,2387.0,148.5,251.5,78.1,62.1
2024-12-09,6.69,2725.0,187.8,313.5,78.3,61.4
2024-12-13,6.5,2425.0,165.3,249.8,80.3,58.6
2024-12-14,7.13,2655.0,183.0,300.3,76.7,60.9
2024-12-15,7.44,2407.0,174.9,300.8,77.8,
2024-12-16,7.27,2367.0,159.1,252.0,78.1,56.5
2024-12-18,8.12,2732.0,222.5,317.5,78.5,56.3
2024-12-19,9.36,2887.0,206.2,280.8,79.4,56.6
2024-12-21,7.62,2730.0,11.7,268.3,75.7,58.2
2024-12-22,7.57,2701.0,184.8,304.2,,
2024-12-23,8.75,2544.0,171.4,263.8,,
2024-12-24,7.74,2618.0,189.2,251.7,77.3,58.7
2024-12-25,8.79,2392.0,156.8,264.5,76.5,58.6
2024-12-28,8.22,2544.0,174.7,248.0,77.5,
2024-12-29,7.85,2740.0,178.3,262.5,,
2024-12-30,7.83,2491.0,171.8,275.2,76.0,58.7
2024-12-31,8.55,2762.0,177.0,307.6,79.7,54.7
2025-01-01,7.07,2695.0,179.8,293.3,76.4,
2025-01-03,8.17,2501.0,155.1,234.6,76.7,59.5
2025-01-04,7.62,2602.0,180.2,271.6,79.0,53.4
2025-01-05,7.86,2068.0,124.5,203.2,76.0,59.3
2025-01-06,6.94,284.0,50.0,80.0,80.0,55.1
2025-01-07,7.05,3140.0,230.2,348.9,79.8,57.5
2025-01-08,7.43,2496.0,191.0,231.1,75.9,59.1
2025-01-09,1.25,2544.0,195.6,276.9,77.5,59.6
2025-01-10,7.3,2752.0,208.5,316.4,79.6,55.6
2025-01-12,7.68,2321.0,157.8,210.3,,55.2
2025-01-13,7.1,2847.0,209.1,317.7,77.8,59.0
2025-01-15,7.56,1905.0,118.6,188.2,77.7,57.9
2025-01-16,8.61,2366.0,149.4,246.0,75.4,51.6
2025-01-19,7.96,2692.0,181.7,295.5,77.8,52.8
2025-01-20,7.47,2708.0,173.9,283.6,78.3,
2025-01-21,8.11,2504.0,169.3,203.8,76.5,
2025-01-22,6.89,2531.0,176.0,254.7,76.2,
2025-01-23,2.61,2694.0,165.6,270.6,79.8,60.9
2025-01-24,7.32,2685.0,218.8,308.5,77.4,59.8
2025-01-25,8.26,2706.0,182.1,273.4,77.2,56.0
2025-01-27,7.13,2327.0,162.7,282.6,78.8,58.6
2025-01-29,7.35,2788.0,190.3,294.2,,59.6
2025-01-31,7.86,2608.0,208.0,265.6,76.0,55.8
2025-02-01,7.36,40.0,50.0,80.0,,57.0
2025-02-03,2.85,2595.0,169.8,258.8,78.9,66.0
2025-02-04,6.71,2628.0,176.4,286.0,,54.8
2025-02-06,7.22,2869.0,190.4,266.3,,59.1
2025-02-07,1.35,108.0,50.0,80.0,77.2,65.5
2025-02-09,7.96,2129.0,16.2,253.2,78.5,59.4
2025-02-14,7.3,3178.0,222.4,337.1,77.8,61.8
2025-02-15,6.14,2391.0,159.8,255.3,77.3,
2025-02-16,6.22,2658.0,5.4,320.7,,61.7
2025-02-17,6.8,2262.0,14.7,263.0,79.5,59.7
2025-02-20,5.98,1963.0,122.6,247.8,,62.3
2025-02-21,6.31,161.0,50.0,80.0,78.1,60.8
2025-02-22,6.93,2427.0,181.8,265.3,79.2,56.3
2025-02-26,7.58,2741.0,179.7,295.0,76.5,57.3
2025-02-27,7.92,2235.0,146.1,248.2,77.5,54.3
2025-02-28,6.21,2838.0,210.4,298.1,77.3,58.5
2025-03-03,7.02,2275.0,156.2,222.8,79.2,61.4
2025-03-08,6.47,2831.0,187.8,272.2,,56.2
2025-03-09,6.82,2633.0,178.0,246.6,78.1,60.8
2025-03-13,7.7,2177.0,140.9,248.9,,62.1
2025-03-15,7.82,333.0,50.0,80.0,,51.7
2025-03-16,7.63,2071.0,158.0,274.6,78.6,58.0
2025-03-20,7.97,2776.0,187.0,319.2,79.7,56.1
2025-03-21,8.26,2654.0,192.5,292.6,,60.6
2025-03-23,7.78,3081.0,243.9,351.4,79.0,
2025-03-24,8.02,2569.0,185.8,256.9,78.3,
2025-03-26,2.79,2648.0,168.0,287.3,77.7,
2025-03-28,6.96,2417.0,164.7,240.6,,60.3
2025-03-30,6.75,1898.0,15.8,205.2,76.4,
2025-03-31,7.05,2794.0,221.2,253.0,77.8,58.9
2025-04-01,7.69,2091.0,159.3,186.1,76.3,60.0
2025-04-02,8.21,3045.0,231.4,322.5,76.8,58.4
2025-04-03,8.27,2422.0,180.3,272.4,78.1,53.4
2025-04-08,7.71,2455.0,173.1,2.3,,55.4
2025-04-10,8.34,2869.0,181.1,302.1,78.3,59.1
2025-04-11,7.23,2472.0,174.0,275.7,73.7,52.3
2025-04-12,7.65,2375.0,174.3,261.1,77.9,62.5
2025-04-13,7.52,2490.0,203.9,224.7,77.6,60.3
2025-04-14,3.17,2417.0,187.2,251.3,76.1,68.0
2025-04-15,6.73,2722.0,205.7,315.2,77.7,
2025-04-16,7.2,2237.0,174.4,253.5,77.4,
2025-04-17,7.43,2886.0,205.3,281.1,76.0,55.4
2025-04-18,7.52,2504.0,189.6,260.2,77.5,58.7
2025-04-21,7.15,553.0,50.0,80.0,76.9,56.9
2025-04-22,7.38,2484.0,191.6,233.3,78.5,64.6
2025-04-23,7.7,2331.0,163.1,256.7,78.4,59.7
2025-04-24,6.69,251.0,50.0,80.0,,58.0
2025-04-25,7.3,3072.0,210.1,17.6,77.6,57.0
2025-04-27,8.13,2678.0,198.9,281.6,79.8,
2025-04-29,7.4,2766.0,193.4,300.9,77.9,
2025-04-30,7.09,2995.0,211.3,326.4,78.2,55.9
2025-05-01,8.96,2913.0,189.9,4.2,77.3,56.2
2025-05-06,8.17,2651.0,184.8,270.9,79.5,54.4
2025-05-08,7.53,2698.0,192.8,257.9,,60.5
2025-05-09,7.48,2646.0,193.8,267.1,78.9,61.4
2025-05-10,6.43,2697.0,205.3,274.9,79.3,64.6
2025-05-11,6.31,651.0,50.0,80.0,77.9,57.3
2025-05-14,7.92,2500.0,160.9,288.1,78.4,55.5
2025-05-15,7.97,2661.0,177.2,293.0,77.5,59.9
2025-05-16,7.28,2671.0,173.3,241.7,81.4,
2025-05-17,7.34,2612.0,168.9,282.4,,55.4
2025-05-19,8.05,1987.0,112.1,219.1,,
2025-05-21,7.23,2676.0,207.5,286.5,79.0,
2025-05-22,8.54,2611.0,184.8,265.6,77.9,57.4
2025-05-27,6.55,2329.0,177.3,287.2,,63.4
2025-05-29,7.63,2547.0,169.9,16.6,77.2,59.2
2025-05-30,7.11,2870.0,206.4,299.9,78.7,55.9
2025-05-31,7.32,2735.0,181.3,238.6,76.6,57.4
2025-06-01,7.24,526.0,60.8,80.0,75.3,56.1
2025-06-03,7.1,2421.0,172.5,290.2,78.3,60.5
2025-06-04,6.85,2354.0,164.9,260.5,78.1,
2025-06-05,7.21,2459.0,180.3,275.6,79.1,57.1
2025-06-06,8.05,2937.0,206.9,355.3,,61.0
2025-06-07,6.55,292.0,50.0,80.0,78.4,59.7
2025-06-09,7.5,2580.0,167.7,290.3,76.0,
2025-06-10,6.85,2701.0,189.4,243.4,,61.4
2025-06-12,6.56,2315.0,168.6,265.4,,60.9
2025-06-13,7.56,2937.0,209.2,314.6,78.9,59.5
2025-06-14,8.2,2712.0,186.9,300.6,77.5,53.4
2025-06-15,6.42,3015.0,17.9,320.7,76.6,62.2
2025-06-16,6.87,2560.0,171.8,283.7,79.0,62.4
2025-06-17,6.9,2777.0,3.1,312.5,78.9,57.5
2025-06-19,8.5,2427.0,152.1,242.2,,58.7
2025-06-20,7.01,409.0,50.0,80.0,,
2025-06-21,7.09,2641.0,186.3,9.9,78.5,54.4
2025-06-24,6.61,2619.0,189.1,292.4,78.7,59.2
2025-06-27,8.47,2539.0,192.7,256.7,77.7,54.0
2025-06-28,7.51,2696.0,197.9,303.6,78.2,56.3
2025-06-30,8.05,2847.0,182.1,316.0,77.6,57.6
2025-07-01,7.23,2633.0,202.3,257.4,77.9,57.0
2025-07-04,7.74,2862.0,207.5,304.9,75.9,59.3
2025-07-05,7.02,2509.0,168.4,283.1,77.6,62.0
2025-07-06,7.44,2778.0,215.8,289.4,,
2025-07-07,7.11,2382.0,169.7,292.8,79.5,62.3
2025-07-08,6.7,2343.0,175.1,231.4,78.3,60.6
2025-07-09,7.26,2647.0,152.3,10.1,,58.0
2025-07-10,7.25,2748.0,184.8,29.4,,55.5
2025-07-11,7.09,2860.0,226.1,313.1,78.1,58.1
